id,loan_amnt,term,int_rate,installment,grade,sub_grade,annual_inc,emp_length,home_ownership,verification_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,purpose,default
79044496,16000.0,60.0,12.99,363.97,C,C2,49000.0,5.0,RENT,Source Verified,15.94,0.0,0.0,9.0,0.0,26376.0,85.4,19.0,debt_consolidation,0
43246030,15150.0,36.0,10.99,495.92,B,B4,38000.0,8.0,MORTGAGE,Not Verified,39.96,1.0,1.0,10.0,0.0,19459.0,63.2,38.0,credit_card,0
641694,12800.0,60.0,14.83,303.38,D,D3,75000.0,0.0,RENT,Source Verified,12.43,0.0,0.0,12.0,0.0,8078.0,35.0,13.0,moving,0
70981628,6000.0,36.0,9.75,192.9,B,B3,70000.0,0.0,MORTGAGE,Verified,25.53,1.0,1.0,9.0,0.0,2048.0,39.4,16.0,debt_consolidation,0
57792301,15000.0,60.0,13.33,343.84,C,C3,96000.0,3.0,RENT,Source Verified,13.44,0.0,0.0,11.0,1.0,15979.0,53.3,36.0,debt_consolidation,0
11024745,15000.0,36.0,13.53,509.25,B,B5,68000.0,10.0,OWN,Not Verified,28.85,0.0,0.0,7.0,0.0,24584.0,86.3,33.0,credit_card,0
44877079,24000.0,36.0,6.39,734.38,A,A2,170000.0,2.0,OWN,Verified,25.91,1.0,0.0,14.0,0.0,443859.0,69.3,30.0,debt_consolidation,0
119373262,30000.0,60.0,13.59,691.69,C,C2,40539.0,0.0,RENT,Verified,40.05,0.0,0.0,13.0,1.0,23224.0,75.6,29.0,credit_card,0
5938194,19125.0,36.0,15.22,665.04,C,C3,50000.0,8.0,MORTGAGE,Verified,17.21,0.0,2.0,7.0,0.0,13910.0,60.0,17.0,debt_consolidation,0
13947888,4000.0,36.0,24.99,159.02,F,F4,12000.0,7.0,RENT,Source Verified,13.9,0.0,0.0,8.0,0.0,4793.0,32.8,9.0,small_business,0
1904832,35000.0,60.0,21.49,956.55,E,E3,79972.0,6.0,MORTGAGE,Verified,30.72,0.0,1.0,8.0,0.0,37561.0,97.8,13.0,debt_consolidation,0
127188447,10000.0,36.0,10.42,324.65,B,B3,45000.0,10.0,MORTGAGE,Verified,39.15,1.0,0.0,11.0,0.0,14782.0,24.9,18.0,major_purchase,0
75839900,24000.0,36.0,7.39,745.34,A,A4,140000.0,3.0,RENT,Not Verified,14.8,0.0,0.0,14.0,0.0,31730.0,24.9,36.0,debt_consolidation,0
40512350,25000.0,36.0,7.49,777.55,A,A4,112000.0,2.0,RENT,Source Verified,12.43,0.0,0.0,7.0,0.0,14475.0,28.0,8.0,credit_card,0
19235873,35000.0,60.0,19.52,917.97,E,E2,85000.0,0.0,OWN,Verified,25.7,1.0,0.0,12.0,0.0,28171.0,87.8,37.0,debt_consolidation,0
55151852,3600.0,36.0,10.99,117.85,B,B4,54000.0,4.0,MORTGAGE,Not Verified,28.73,0.0,0.0,12.0,0.0,12844.0,51.6,22.0,home_improvement,0
5959379,10000.0,36.0,10.64,325.69,B,B2,90000.0,5.0,MORTGAGE,Not Verified,15.79,0.0,1.0,12.0,0.0,27055.0,67.8,36.0,debt_consolidation,0
68702114,7000.0,36.0,9.17,223.16,B,B2,125000.0,10.0,MORTGAGE,Not Verified,13.4,0.0,1.0,9.0,0.0,13035.0,76.2,17.0,debt_consolidation,1
65472225,28000.0,36.0,7.26,867.9,A,A4,135000.0,10.0,MORTGAGE,Source Verified,6.61,0.0,0.0,16.0,0.0,28632.0,48.2,29.0,debt_consolidation,0
62824284,8000.0,36.0,10.99,261.88,B,B4,45000.0,2.0,MORTGAGE,Source Verified,15.39,0.0,0.0,4.0,2.0,1940.0,77.6,25.0,home_improvement,0
74562893,12000.0,60.0,24.99,352.15,F,F3,50000.0,2.0,MORTGAGE,Verified,34.37,0.0,1.0,10.0,0.0,8815.0,63.9,32.0,debt_consolidation,1
118320625,5000.0,36.0,13.59,169.9,C,C2,100000.0,1.0,OWN,Not Verified,7.51,0.0,1.0,10.0,0.0,4231.0,33.8,16.0,debt_consolidation,0
73723990,13950.0,36.0,7.89,436.44,A,A5,48000.0,4.0,MORTGAGE,Source Verified,21.69,0.0,1.0,15.0,0.0,31892.0,37.8,31.0,credit_card,0
